id_producto,productos_descripcion,productos_marca,Carrefour,Coto,Día,Mejor_Precio,Dispersion_Porcentaje
7794820903186,CREMA DE LECHE MILKAUT POT 200 CMQ,MILKAUT,3500.0,3395.0,3395.0,3395.0,3.1
7794450000149,VINO RED BLEND NICASIA MALB/CABSAU/VERDOT BOT 750CMQ,NICASIA,12525.0,12525.0,9490.0,9490.0,32.0
7794450090492,VINO CABERNET-MALBEC DV CATENA BOT 750 CC,DV CATENA,20900.0,21000.0,14990.0,14990.0,40.1
7794450088581,VINO MALBEC SAINT FELICIEN BOT 750 CC,SAINT FELICIEN,14345.0,15939.0,11990.0,11990.0,32.9
7790538010321,GALLETAS DE ARROZ MACROBIOTICA CON SAL PAQ 102 GRM,MACROBIOTICA,1700.0,1750.0,1750.0,1700.0,2.9
7798181641459,FÓRMULA LÁCTEA UAT ADVANCED 3 SANCOR BEBÉ TTB 200 ML,SANCOR BEBE,1930.0,2055.0,1945.0,1930.0,6.5
7798181641435,FÓRMULA LÁCTEA UAT ADVANCED 2 SANCOR BEBÉ TTB 200 ML,SANCOR BEBE,1945.0,2055.0,1945.0,1945.0,5.7
8445290848970,LECHE INFANTIL ETAPA 3 NIDO TTB 200 ML,NIDO 3,1520.0,1499.0,1500.0,1499.0,1.4
8445290180209,LECHE INFANTIL 2 DE 6 A 12 MESES NIDINA TTB 200 ML,NIDINA,1979.0,2060.0,1975.0,1975.0,4.3
8445290180186,LECHE INFANTIL 1 DE 0 A 6 MESES NIDINA TTB 200 ML,NIDINA,1999.0,2085.0,1990.0,1990.0,4.8
7791337009424,LECHE FERM.DESCRE.C/PROB.SAB. FRUTI.ACTIMEL KIDS BOT 100 GRM,ACTIMEL,1895.0,1839.0,1840.0,1839.0,3.0
7791337007802,LECHE FERM.P/DESCR.C/PROB.SAB. FRUTILLA ACTIMEL BOT 100 GRM,ACTIMEL,1950.0,1839.0,1840.0,1839.0,6.0
7791337007819,LECHE FERM.P/DESCR.C/PROB.SAB. MULTIFR.ACTIMEL BOT 100 GRM,ACTIMEL,1895.0,1839.0,1840.0,1839.0,3.0
7790742172105,BEB.A BASE LECHE DESC PROTEIN CHOC. LA SERENISIMA TTB 1L TR,LA SERENISIMA,4365.0,4369.0,4365.0,4365.0,0.1
7793940054006,MANTECA LA SERENISIMA PAN 200 GRM,LA SERENISIMA,4410.0,4410.0,4410.0,4410.0,0.0
7793940052002,MANTECA LA SERENISIMA PAN 100 GRM,LA SERENISIMA,2495.0,2499.0,2495.0,2495.0,0.2
7790398100088,MANTECA LA PAULINA PAN 200 GRM,LA PAULINA,4299.0,4410.0,4299.0,4299.0,2.6
7798060850026,MANTECA TONADITA PAN 200 GRM,TONADITA,3909.0,3799.0,3799.0,3799.0,2.9
7791620187761,MARGARINA UNT.SOFT 100%VEGET. DANICA POT 200 GRM,DANICA,2899.0,2819.0,2819.0,2819.0,2.8
7791620187778,MARGARINA UNT.CREMOSA DORADA 100%VEG.DANICA POT 210 GRM,DANICA,2899.0,2819.0,2819.0,2819.0,2.8
7791620187822,MARGARINA P/COCINA Y REPOST. MARGADAN PAN 200 GRM,MARGADAN,2099.0,2035.0,2035.0,2035.0,3.1
7791337010604,FLAN C/CARAMELO X2 DANETTE POT 190 GRM,DANETTE,4680.0,4680.0,4680.0,4680.0,0.0
7791337010635,FLAN C/CARAMELO X2 SER POT 190 GRM,SER,4265.0,4140.0,4140.0,4140.0,3.0
7791337010666,FLAN C/CARAMELO X2 LA SERENISIMA POT 190 GRM,LA SERENISIMA,3349.0,3260.0,3255.0,3255.0,2.9
7791337010628,POSTRE SAB.DUL.D/LECHE X2 SER POT 190 GRM,SER,4140.0,4140.0,4140.0,4140.0,0.0
7791337010581,POSTRE SAB.DUL.D/LECHE X2 DANETTE POT 190 GRM,DANETTE,4820.0,4680.0,4680.0,4680.0,3.0
7791337010598,POSTRE SAB.CHOCOLATE X2 DANETTE POT 190 GRM,DANETTE,4445.0,4680.0,4680.0,4445.0,5.3
7791337010611,POSTRE SAB.CHOCOLATE X2 SER POT 190 GRM,SER,4225.0,4140.0,4140.0,4140.0,2.1
7791337010574,POSTRE SAB.CREM.AMERI.X2 DANETTE POT 190 GRM,DANETTE,4680.0,4680.0,4680.0,4680.0,0.0
7791337010673,POSTRE DULCE DE LECHE X2 SERENITO POT 190 GRM,SERENITO,4215.0,4215.0,4215.0,4215.0,0.0
7791337010680,POSTRE VAINILLA X2 SERENITO POT 190 GRM,SERENITO,4339.0,4215.0,4215.0,4215.0,2.9
7791337009608,POSTRE SAB.CHOCOLATE X4 DANETTE PAK 380 GRM,DANETTE,7230.0,7020.0,7020.0,7020.0,3.0
7798262020043,PURÉ D/MANZANA Y DURAZNO ZUMMY POU 90 GRM,ZUMMY,1385.0,1385.0,1397.0,1385.0,0.9
7798262020104,PURÉ DE PERA ZUMMY POU 90 GRM,ZUMMY,1430.0,1385.0,1397.0,1385.0,3.2
7798262020036,PURÉ DE MANZANA ZUMMY POU 90 GRM,ZUMMY,1165.0,1385.0,1397.0,1165.0,19.9
7798262020135,PURÉ MIX FRUTAL ZUMMY POU 90 GRM,ZUMMY,1385.0,1385.0,1397.0,1385.0,0.9
7791337008106,POSTRE SAB DDL Y CREMADA DANETTE POT 100 GRM,DANETTE,2479.0,2405.0,2405.0,2405.0,3.1
7791337008113,POSTRE SAB CHOCOLATE Y CREMA DANETTE POT 100 GRM,DANETTE,2479.0,2405.0,2405.0,2405.0,3.1
7791337008458,POSTRE SAB.VAINILLA SERENITO POT 120 GRM,SERENITO,2500.0,2500.0,2500.0,2500.0,0.0
7791337008489,POSTRE SAB.VAINILLA+CHOCOB. SERENITO POT 118 GRM,SERENITO,3605.0,3500.0,3500.0,3500.0,3.0
